customer_code ,customer_name                  ,store_name       ,customer_type ,channel  ,province      ,city
CUST-281972   ,Mnumzane Mandla Mfusi          ,Shoprite         ,Retail        ,Online   ,Gauteng       ,Pretoria
CUST-339292   ,Nkosazana Khanyisile Gabhezi   ,Usave            ,Bulk          ,Online   ,Gauteng       ,Soweto
CUST-108627   ,Nozizwe Nkabinde-Jele          ,Usave            ,Retail        ,Online   ,Gauteng       ,Pretoria
CUST-633311   ,Mama Simphiwe Dlakela          ,Checkers Sixty60 ,Bulk          ,In-Store ,Gauteng       ,Pretoria
CUST-270267   ,Dr. Jabulani Khanyeza          ,Checkers         ,Retail        ,In-Store ,Free State    ,Bloemfontein
CUST-470384   ,Zibuyile Dikane                ,Checkers         ,Retail        ,Online   ,Gauteng       ,Tembisa
CUST-686436   ,Dr. Siyabonga Dumisa           ,Checkers         ,Retail        ,Online   ,KwaZulu-Natal ,Durban
CUST-714918   ,Baba Mcebisi Dlodlo            ,Checkers         ,Wholesale     ,Online   ,Gauteng       ,Pretoria
CUST-310163   ,Sibonelo Malambule             ,Checkers Sixty60 ,Wholesale     ,In-Store ,Limpopo       ,Polokwane
CUST-618915   ,Sibusisiwe Jamasijadu          ,Checkers Sixty60 ,Wholesale     ,Online   ,Western Cape  ,Stellenbosch
CUST-219459   ,Bhuti Mthokozisi Kubheka       ,Checkers Sixty60 ,Bulk          ,Online   ,KwaZulu-Natal ,Durban
CUST-639651   ,Mandla Khaba                   ,Checkers Sixty60 ,Wholesale     ,In-Store ,Gauteng       ,Pretoria
CUST-615805   ,Nomcebo Gininda                ,Checkers         ,Bulk          ,Online   ,KwaZulu-Natal ,Pietermaritzburg
CUST-722432   ,Bhekani Ndabandaba             ,Shoprite         ,Bulk          ,Online   ,Gauteng       ,Johannesburg
CUST-21824    ,Nkosazana Londiwe Madlala      ,Shoprite         ,Wholesale     ,In-Store ,Northern Cape ,Kimberley
CUST-791827   ,Bhekani Ngubane                ,Usave            ,Wholesale     ,Online   ,North West    ,Rustenburg
CUST-430389   ,Lwandile Mnyoni                ,Shoprite         ,Retail        ,Online   ,Western Cape  ,Stellenbosch
CUST-152326   ,Andile Mbongwa                 ,Usave            ,Wholesale     ,Online   ,Gauteng       ,Tembisa
CUST-918302   ,Thabisile Sibeko-Nzima         ,Checkers         ,Bulk          ,In-Store ,Northern Cape ,Kimberley
CUST-60832    ,Thalente Ndabezitha            ,Checkers Sixty60 ,Wholesale     ,Online   ,North West    ,Rustenburg
CUST-870455   ,Khanyisile Maduma              ,Usave            ,Bulk          ,In-Store ,KwaZulu-Natal ,Durban
CUST-155439   ,Nkosikazi Mnqobi Bhensela      ,Usave            ,Bulk          ,In-Store ,Western Cape  ,Cape Town
